Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
Public Class,2,2,2,1,13,0,13,0,2,25,0,0,0,21,4,21,21,0,8,0,13,321,29,280,96,187,12,170,219,92,127,5,5,6,4,1,4,71,0.04,51,51,56,35,HIGH
Public Class,5,5,5,1,36,4,21,12,1,21,0,0,0,6,8,6,31,0,0,0,6,313,39,138,35,91,143,58,88,23,65,12,12,15,1,2,2,70,1.04,30,30,35,6,HIGH
Public Class,2,2,2,1,12,0,7,5,9,73,4,4,82,147,53,151,177,26,4,10,111,3099,351,1578,500,1020,1171,843,1228,498,730,15,15,18,6,2,5,98,0.74,317,314,340,173,HIGH
Private Class,2,2,2,2,12,0,12,0,2,5,0,0,0,3,1,3,3,0,0,0,3,44,4,40,11,26,0,19,27,11,16,4,3,4,4,1,2,0,0,8,7,8,6,HIGH
Public Class,3,2,3,1,17,0,9,7,2,6,0,2,8,33,5,35,35,0,0,0,35,734,69,369,70,243,296,157,250,65,185,22,11,22,11,1,4,81,0.8,106,90,113,65,HIGH
Public Class,3,3,3,1,18,4,14,0,1,36,0,0,0,22,10,22,22,6,1,0,15,460,124,324,74,212,12,143,217,71,146,12,12,13,6,1,4,83,0.04,74,73,77,36,HIGH
Public Class,3,3,3,1,46,6,30,10,1,19,0,0,1,6,7,6,9,0,2,0,4,318,52,193,63,157,73,112,136,49,87,9,9,9,6,2,3,66,0.38,23,23,23,11,HIGH
Public Class,6,6,7,1,53,6,36,11,1,23,0,14,2,0,0,14,14,0,0,0,14,790,119,516,194,354,161,231,305,116,189,44,44,47,1,1,5,82,0.31,94,94,101,14,HIGH
Public Abstract Generic Class,1,1,1,1,9,0,6,2,1,0,2,0,0,22,12,22,22,1,2,2,17,242,37,142,42,82,67,75,110,45,65,6,6,6,6,1,3,82,0.47,31,31,31,25,HIGH
Public Class,1,1,1,1,15,0,13,1,1,8,0,0,7,35,7,35,41,0,7,0,28,662,68,498,58,410,110,384,428,57,371,1,1,1,1,3,0,81,0.22,35,35,35,35,HIGH
Public Class,2,2,2,1,15,0,12,2,2,13,0,0,3,25,3,25,25,0,8,0,17,474,50,315,74,219,113,127,181,60,121,8,8,9,1,2,4,74,0.36,55,55,57,25,HIGH
Public Class,4,3,4,2,21,0,15,5,1,24,0,6,2,13,3,19,159,0,5,3,11,481,45,306,85,218,136,141,210,78,132,23,23,27,19,4,4,82,0.44,77,70,86,55,HIGH
Public Class,2,2,2,1,23,2,11,10,2,1,0,0,3,8,3,8,8,0,1,0,7,300,33,100,42,59,170,49,66,33,33,4,4,4,1,1,2,64,1.7,16,16,16,8,HIGH
Class,1,1,1,1,12,0,10,1,2,17,0,0,0,10,6,10,20,2,4,0,4,143,13,115,49,86,15,72,85,44,41,2,2,2,1,2,1,76,0.13,12,12,12,10,HIGH
