Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
Public Class,3,3,3,1,24,5,16,2,1,25,0,0,0,12,4,12,80,10,0,0,2,320,84,202,45,137,35,106,149,47,102,11,11,11,4,3,3,60,0.17,44,44,45,15,HIGH
Public Class,9,9,9,2,50,12,34,4,1,11,0,3,0,0,0,3,3,0,0,0,3,193,38,105,42,79,50,73,98,38,60,16,16,17,6,1,3,0,0.48,28,28,29,8,HIGH
Public Generic Class,3,3,3,1,26,2,15,9,1,2,0,1,4,9,3,10,10,0,3,3,4,347,35,197,74,150,117,132,188,78,110,13,13,13,6,2,3,87,0.59,30,30,34,15,HIGH
Class,1,1,1,1,7,0,6,0,1,5,0,0,0,15,0,15,55,5,0,1,9,137,19,104,25,68,14,38,58,23,35,3,3,3,1,3,1,0,0.13,20,20,20,15,HIGH
Public Class,1,1,1,1,12,0,5,6,1,18,0,0,1,15,1,15,15,0,0,0,15,248,22,85,31,47,141,42,62,29,33,2,2,2,1,1,1,40,1.66,19,19,19,15,HIGH
Public Class,2,2,2,1,18,2,12,3,1,17,0,1,1,8,4,9,20,0,0,0,9,206,45,123,33,90,38,71,97,36,61,8,8,9,1,3,3,75,0.31,22,22,23,9,HIGH
Public Class,2,2,2,1,20,1,14,4,1,5,0,9,3,0,0,9,9,0,0,0,9,210,29,139,45,86,42,82,106,51,55,8,8,8,1,1,3,59,0.3,23,23,23,9,HIGH
Public Class,3,2,3,1,25,1,19,4,3,46,0,0,10,27,16,27,75,0,10,0,17,1765,215,1197,292,857,358,636,879,274,605,12,12,12,5,4,4,90,0.3,85,80,97,33,HIGH
Class,3,3,3,2,19,2,17,0,2,9,0,0,0,8,2,8,8,0,0,0,8,169,26,140,31,104,3,76,103,27,76,9,9,10,7,1,3,50,0.02,29,29,30,16,HIGH
Public Class,2,2,2,1,15,0,9,5,1,5,1,2,1,15,2,17,17,0,4,3,10,309,32,173,55,112,104,84,119,50,69,7,7,8,1,1,3,90,0.6,34,34,36,17,HIGH
Private Class,1,1,1,1,29,1,27,0,1,9,0,0,0,4,20,4,4,0,2,0,2,133,10,119,20,94,4,100,106,21,85,1,1,1,1,2,0,63,0.03,4,4,4,4,HIGH
Public Class,6,6,6,2,24,0,22,2,2,13,0,2,0,4,1,6,28,0,0,0,6,163,10,140,24,90,15,56,92,27,65,28,28,30,8,5,4,50,0.11,37,37,39,17,HIGH
Public Class,1,1,1,1,6,0,6,0,1,13,0,0,1,6,1,6,26,0,0,0,6,52,7,44,15,22,1,24,31,15,16,1,1,1,1,2,0,91,0.02,6,6,6,6,HIGH
Public Class,4,3,4,2,20,4,14,1,2,45,12,7,13,74,15,81,81,57,0,1,23,1862,447,1246,213,824,170,578,856,229,627,32,28,34,21,1,6,93,0.14,372,284,391,190,HIGH
Public Class,1,1,1,1,5,0,5,0,2,11,0,0,4,30,3,30,30,0,4,0,26,216,26,162,48,85,28,72,117,48,69,5,5,5,4,2,2,86,0.17,46,45,49,33,HIGH
Public Class,2,1,2,1,11,2,9,0,2,13,0,1,1,49,12,50,50,21,2,0,27,670,163,465,84,307,42,244,330,83,247,8,7,9,7,1,3,85,0.09,110,86,121,56,HIGH
Public Class,1,1,1,1,7,0,7,0,1,10,0,1,0,13,2,14,31,0,0,0,14,120,15,104,23,52,1,44,64,23,41,3,3,4,1,2,1,64,0.01,18,18,19,14,HIGH
Public Class,9,9,10,3,66,11,37,18,1,18,0,0,1,3,2,3,19,0,1,0,2,223,41,116,35,96,68,64,94,28,66,19,19,21,7,2,3,44,0.59,29,29,31,9,HIGH
Public Abstract Class,1,1,1,1,11,0,5,6,1,2,2,1,0,9,2,10,14,2,0,0,8,184,14,57,17,30,122,24,41,17,24,4,4,4,1,2,2,61,2.14,17,16,17,9,HIGH
Public Class,19,19,27,7,111,11,88,11,1,13,0,0,4,11,8,11,11,0,8,0,3,1256,146,982,171,721,130,687,884,224,660,89,89,117,36,1,8,71,0.13,216,213,298,77,HIGH
Public Class,6,6,6,2,44,6,23,13,4,20,0,2,2,8,8,10,10,0,5,0,5,925,132,446,146,282,347,246,365,149,216,19,19,21,8,1,6,80,0.78,63,63,67,27,HIGH
Public Class,5,5,5,3,19,0,18,1,1,5,0,1,3,7,1,8,8,0,3,0,5,195,8,151,26,108,36,72,113,27,86,21,21,25,14,2,6,75,0.24,40,40,45,27,HIGH
Public Class,2,2,2,1,10,0,9,0,1,3,0,0,0,23,8,23,23,0,9,0,14,275,38,215,45,130,22,121,177,56,121,7,7,9,5,2,2,67,0.1,56,56,63,29,HIGH
Public Class,3,3,3,2,16,0,10,5,1,10,0,0,1,8,1,8,8,0,0,0,8,151,9,91,22,66,51,43,68,22,46,8,7,8,8,1,2,50,0.56,29,24,29,23,HIGH
Public Static Class,2,2,2,1,15,0,14,0,2,12,0,0,0,9,10,9,9,0,1,0,8,157,12,136,31,85,9,79,100,33,67,8,8,12,1,1,4,61,0.07,20,20,24,9,HIGH
Public Class,2,1,2,2,13,2,8,3,1,3,0,1,2,3,0,4,12,0,1,0,3,75,13,37,10,23,25,14,21,8,13,8,3,8,8,3,2,75,0.68,11,6,11,11,HIGH
Public Class,3,3,3,1,27,0,24,2,1,3,0,0,0,3,0,3,26,0,0,3,0,90,3,74,11,56,13,52,64,10,54,9,9,9,1,5,5,0,0.18,11,11,11,3,HIGH
Private Class,2,2,2,1,12,0,12,0,2,8,0,0,0,5,2,5,5,0,0,0,5,71,7,64,16,35,0,24,37,13,24,8,6,8,1,1,4,40,0,14,12,14,5,HIGH
Public Abstract Class,3,3,3,1,22,1,21,0,1,3,4,0,0,9,1,9,9,0,0,9,0,227,21,197,66,151,9,119,153,65,88,7,4,7,1,1,3,55,0.05,34,30,34,9,HIGH
Public Class,8,4,9,3,31,6,23,1,1,15,0,10,22,44,1,54,140,2,2,0,50,1798,421,1301,200,989,84,483,706,184,522,39,27,40,17,2,3,97,0.06,468,255,498,201,HIGH
Public Class,1,1,1,1,9,0,7,1,1,7,0,0,0,6,0,6,21,0,0,0,6,69,9,49,19,26,11,28,37,20,17,4,4,4,1,2,2,0,0.22,9,9,9,6,HIGH
Class,1,1,1,1,6,0,4,1,1,2,1,0,0,22,2,22,22,0,3,0,19,175,26,109,34,68,47,65,102,37,65,4,4,4,3,1,2,31,0.43,33,33,37,24,HIGH
Public Class,4,4,4,1,22,1,16,4,1,16,0,21,2,1,0,22,22,12,6,0,4,536,48,382,111,265,114,212,298,110,188,11,11,11,7,1,3,95,0.3,88,88,96,34,HIGH
Public Class,2,2,2,1,12,1,9,1,1,12,0,0,1,16,4,16,46,0,3,7,6,305,43,188,60,132,75,126,169,58,111,6,6,6,3,3,2,85,0.4,34,34,37,20,HIGH
Class,1,1,1,1,16,0,6,10,1,3,0,0,0,6,0,6,38,0,0,0,6,123,13,43,14,25,73,19,30,13,17,5,5,5,1,5,2,0,1.7,10,10,10,6,HIGH
Public Class,4,4,4,1,17,0,15,0,2,8,0,0,1,8,2,8,8,0,0,0,8,268,26,176,48,105,66,90,135,48,87,12,12,12,4,2,3,75,0.38,34,34,34,11,HIGH
Public Class,3,3,3,1,17,0,16,0,1,14,0,0,0,10,4,10,32,0,1,0,9,189,16,171,36,108,2,96,129,39,90,10,10,11,6,3,2,72,0.01,33,33,35,15,HIGH
Public Class,1,1,1,1,12,0,5,6,2,4,0,1,2,44,10,45,45,0,1,0,44,628,77,250,68,139,304,133,192,67,125,6,6,6,1,2,2,88,1.22,59,59,59,45,HIGH
Class,1,1,1,1,15,2,9,3,1,6,0,0,0,4,6,4,4,0,0,1,3,72,15,45,14,26,12,21,28,11,17,3,2,3,3,1,1,54,0.27,7,6,7,6,HIGH
Public Class,11,10,12,1,65,5,47,13,1,41,0,0,0,9,0,9,20,0,4,0,5,608,58,430,87,325,125,197,292,80,212,58,51,67,3,2,6,0,0.29,103,95,115,13,HIGH
Public Class,8,4,8,2,39,2,28,8,1,16,0,0,7,35,17,35,35,0,27,0,8,1472,127,1030,214,789,319,523,667,208,459,62,22,65,22,1,5,92,0.31,280,162,292,92,HIGH
Public Class,2,1,2,1,27,2,22,2,1,15,0,0,13,5,0,5,28,0,2,0,3,191,23,139,55,109,29,87,96,42,54,4,3,4,1,3,2,80,0.21,10,8,10,5,HIGH
Public Abstract Class,2,2,2,1,12,0,9,1,1,5,4,0,0,8,3,8,24,0,0,2,6,129,14,86,17,61,29,44,67,15,52,11,11,11,1,2,2,75,0.34,22,22,22,8,HIGH
Public Class,11,11,13,4,61,3,55,2,4,14,0,0,1,8,8,8,8,0,2,0,6,514,47,456,69,349,17,222,326,74,252,54,54,67,27,2,10,76,0.04,93,93,110,34,HIGH
Public Class,1,1,1,1,9,0,8,1,1,9,0,0,0,8,5,8,8,1,0,0,7,101,16,75,16,38,10,36,52,18,34,3,3,5,3,1,2,62,0.13,13,13,15,10,HIGH
Public Static Class,2,2,2,1,15,0,11,3,1,14,0,0,1,15,8,15,15,13,2,0,0,402,47,244,67,163,112,154,203,69,134,15,15,15,4,1,3,80,0.46,35,35,37,18,HIGH
Private Static Class,2,2,2,1,12,0,12,0,2,7,0,0,0,8,14,8,8,0,1,0,7,120,9,107,16,65,4,52,72,16,56,5,5,5,1,1,2,60,0.04,19,19,19,8,HIGH
Public Class,3,3,3,2,19,0,14,5,1,16,0,0,1,16,9,16,16,0,4,0,12,447,38,274,68,194,135,139,200,69,131,13,13,16,8,1,7,77,0.49,50,50,55,32,HIGH
Public Class,3,3,4,2,15,0,15,0,2,8,0,0,0,3,0,3,3,0,0,0,3,56,5,47,10,24,4,21,32,12,20,8,8,10,6,1,2,0,0.09,10,10,12,8,HIGH
Public Class,10,10,10,1,78,3,67,16,1,27,0,8,9,0,0,8,8,5,2,0,1,655,37,555,125,467,142,420,506,136,370,46,46,47,5,1,4,86,0.26,86,86,87,12,HIGH
Public Abstract Class,2,2,2,1,16,2,13,1,2,9,2,0,1,8,3,8,8,0,0,6,2,152,28,101,26,69,23,54,73,26,47,8,8,8,1,1,4,64,0.23,20,20,20,7,HIGH
Public Class,3,3,4,1,42,19,22,0,1,6,0,17,1,0,0,17,17,0,1,0,16,743,354,388,94,296,4,195,258,84,174,12,12,13,9,1,5,94,0.01,65,65,68,25,HIGH
Public Class,5,4,6,3,14,0,14,0,3,48,0,1,1,191,10,192,192,0,107,0,85,3015,203,2723,384,2158,89,1659,2419,385,2034,34,16,34,15,1,7,78,0.03,1078,902,1247,603,HIGH
Public Class,6,6,7,1,33,2,29,1,1,7,0,0,0,4,0,4,14,0,0,0,4,188,12,121,23,87,55,65,92,21,71,20,20,24,4,2,7,0,0.45,26,26,30,7,HIGH
Class,6,6,6,5,29,0,28,1,1,2,0,0,0,1,1,1,1,0,0,0,1,54,5,32,5,22,17,14,20,4,16,6,6,6,5,2,3,0,0.53,6,6,6,5,HIGH
Public Class,3,2,3,2,13,0,12,0,1,8,0,0,0,10,3,10,24,0,2,0,8,150,21,129,22,90,0,63,90,24,66,11,5,11,8,3,4,63,0,30,24,34,21,HIGH
Public Class,2,2,2,1,12,1,8,2,3,19,1,2,10,38,25,40,40,6,0,0,34,624,130,393,96,238,112,184,263,89,174,11,11,12,1,1,3,93,0.28,90,80,94,40,HIGH
Public Class,1,1,1,1,16,1,11,4,1,6,0,0,1,8,1,8,31,0,2,0,6,158,20,97,20,71,43,67,80,15,65,3,3,3,1,4,1,75,0.44,12,12,12,8,HIGH
Public Class,3,3,3,1,18,3,12,2,1,7,0,1,3,6,2,7,7,0,1,0,6,160,45,93,23,66,22,47,69,22,47,6,6,7,1,1,2,48,0.24,21,21,22,7,HIGH
Public Class,2,2,3,1,15,0,9,5,2,23,1,1,3,30,1,31,209,0,2,4,25,584,56,312,76,202,216,112,185,68,117,12,12,15,4,5,4,87,0.69,85,85,94,41,HIGH
Static Class,2,2,2,1,16,3,9,4,1,7,0,0,1,4,1,4,8,4,0,0,0,76,20,44,14,28,18,23,32,14,18,3,3,4,1,2,2,50,0.41,8,8,9,4,HIGH
Public Class,4,4,6,2,36,4,25,7,1,2,0,0,1,2,0,2,3,0,0,0,2,92,12,54,10,39,26,19,29,7,22,8,8,11,3,2,2,50,0.48,9,9,12,4,HIGH
Public Class,4,4,5,1,36,1,22,13,1,17,0,0,4,39,16,39,56,9,0,28,2,1587,97,924,202,635,593,516,687,208,479,13,13,24,8,2,6,93,0.64,175,166,216,61,HIGH
Public Class,2,2,2,1,12,0,9,2,2,21,0,0,0,11,11,11,21,1,2,0,8,168,27,115,38,69,26,61,87,36,51,9,9,9,5,2,4,76,0.23,25,25,26,18,HIGH
Public Class,6,6,6,1,39,3,24,12,1,36,0,0,2,15,10,15,40,0,4,0,11,892,126,495,109,343,287,219,338,82,256,25,25,26,8,2,6,78,0.58,93,93,101,28,HIGH
Public Class,1,1,1,1,12,0,8,4,2,14,0,3,12,28,4,31,115,0,8,0,23,480,50,277,93,186,164,141,201,87,114,10,10,10,4,4,3,93,0.59,59,59,61,42,HIGH
Public Class,2,2,2,1,13,0,12,0,2,22,0,1,0,24,3,25,45,0,2,0,23,393,45,324,69,224,24,185,242,77,165,11,11,11,3,3,3,72,0.07,60,54,62,27,HIGH
Public Class,2,2,2,1,13,0,12,0,2,22,0,1,0,24,3,25,44,0,2,0,23,394,45,325,69,225,24,185,242,77,165,11,11,11,3,3,3,72,0.07,60,54,62,27,HIGH
Public Class,3,3,3,1,21,1,13,6,1,17,0,12,7,0,0,12,12,2,1,0,9,290,36,170,39,121,84,86,121,41,80,13,13,16,1,1,3,85,0.49,38,38,41,12,HIGH
Public Class,2,2,2,1,16,0,8,8,1,12,0,7,0,7,2,14,64,0,0,0,14,252,18,116,27,71,119,59,86,27,59,11,11,14,1,3,5,82,1.03,29,29,32,14,HIGH
Public Class,3,3,3,1,21,2,16,3,2,28,0,0,2,49,4,49,49,0,2,2,45,1120,159,824,240,607,166,455,611,206,405,13,13,13,5,1,3,80,0.2,163,163,174,58,HIGH
Public Class,8,7,9,3,58,8,40,9,1,3,0,0,1,15,3,15,15,0,12,0,3,939,146,649,43,516,144,350,461,41,420,29,24,34,26,1,4,60,0.22,127,110,137,49,HIGH
Public Class,2,2,3,1,15,2,10,2,2,36,0,1,1,55,10,56,56,17,3,0,36,955,213,608,123,407,134,265,383,109,274,11,11,13,8,1,3,84,0.22,148,117,170,75,HIGH
Public Class,1,1,1,1,11,1,7,2,2,40,0,0,0,60,7,60,60,0,0,6,54,1137,174,762,283,356,201,327,464,232,232,15,15,16,6,1,3,91,0.26,97,97,103,69,HIGH
Public Class,2,2,3,1,15,0,9,5,1,17,0,1,1,34,3,35,152,0,2,3,30,642,59,341,81,211,242,139,249,87,162,7,7,9,6,3,4,75,0.71,95,95,113,54,HIGH
Public Class,7,7,7,1,43,3,30,9,1,28,0,0,7,9,11,9,34,0,2,0,7,512,55,295,55,224,170,127,191,43,148,37,37,38,1,2,3,84,0.58,63,63,71,9,HIGH
Public Class,2,2,2,1,12,1,10,0,1,9,0,1,8,10,4,11,51,0,3,1,7,179,32,131,40,84,16,77,98,38,60,7,4,7,1,3,2,86,0.12,29,22,29,11,HIGH
Public Class,2,2,2,1,19,1,16,2,2,14,0,0,0,8,2,8,9,0,4,0,4,184,18,137,50,103,29,90,108,46,62,7,7,7,1,2,2,62,0.21,20,20,21,8,HIGH
Public Class,2,2,3,1,24,2,14,7,3,28,0,1,5,67,18,68,68,0,11,7,50,1846,285,988,234,669,576,416,598,187,411,20,14,20,19,1,5,93,0.58,202,185,216,94,HIGH
Public Class,2,2,2,1,8,0,8,0,1,5,0,0,0,3,1,3,20,0,0,1,2,31,4,27,7,15,0,10,17,7,10,4,4,6,1,3,1,33,0,6,6,8,3,HIGH
Public Class,1,1,1,1,8,0,5,3,1,2,0,1,0,3,0,4,9,0,0,0,4,44,4,24,9,11,18,9,16,7,9,3,3,3,1,3,1,0,0.75,6,6,6,4,HIGH
Public Class,6,6,7,2,31,1,22,7,1,74,1,0,9,60,12,60,201,0,25,2,33,2206,151,1473,385,1116,593,704,1119,391,728,48,48,56,22,4,5,94,0.4,376,372,450,176,HIGH
Public Class,7,7,10,4,44,2,39,2,1,16,0,1,0,13,10,14,22,0,4,0,10,854,74,721,148,537,60,451,581,150,431,32,32,39,32,2,3,75,0.08,109,109,141,62,HIGH
Private Class,2,2,2,1,15,0,15,0,1,15,0,0,0,9,9,9,9,0,8,0,1,167,14,148,38,99,5,94,119,40,79,7,7,8,1,2,2,72,0.03,24,24,25,9,HIGH
Public Class,1,1,2,1,15,0,12,2,2,5,0,0,4,41,19,41,41,1,0,0,40,723,99,521,106,313,103,347,427,106,321,11,11,15,5,1,3,87,0.2,79,79,98,49,HIGH
Public Class,7,7,9,3,24,1,21,1,1,16,0,0,1,6,5,6,192,0,0,0,6,183,16,155,51,112,12,73,122,44,78,17,17,29,9,6,5,66,0.08,42,42,56,19,HIGH
Public Class,6,5,6,1,36,1,31,6,2,41,0,6,31,16,3,22,22,0,16,0,6,1074,89,876,211,689,238,453,597,194,403,30,23,30,10,1,6,92,0.27,133,126,143,37,HIGH
Public Class,3,2,3,1,19,0,13,6,1,8,0,0,0,6,1,6,6,0,0,0,6,130,5,84,18,56,41,48,63,22,41,5,4,5,1,1,3,0,0.49,18,15,19,6,HIGH
Public Class,5,5,5,2,18,0,18,0,2,2,0,0,0,5,0,5,5,0,0,0,5,101,5,93,16,69,3,69,98,18,80,11,11,11,9,1,2,0,0.03,28,28,29,13,HIGH
Public Class,3,3,3,1,15,0,14,1,3,32,0,0,5,55,20,55,55,0,10,0,45,985,116,817,182,537,58,526,699,223,476,13,13,16,8,2,6,91,0.07,174,174,192,92,HIGH
Public Class,3,3,3,3,18,1,15,2,1,11,0,0,1,8,10,8,16,0,1,0,7,280,37,222,37,147,23,121,169,37,132,16,16,16,10,2,2,65,0.1,31,31,31,24,HIGH
Public Class,1,1,1,1,8,0,7,2,3,9,0,0,15,18,0,18,72,0,12,0,6,247,36,150,51,88,76,72,107,49,58,8,8,8,4,2,4,93,0.51,33,33,33,21,HIGH
Public Class,1,1,1,1,8,1,6,0,1,7,0,0,0,17,5,17,30,0,0,0,17,185,47,118,32,54,24,53,78,32,46,3,3,4,1,3,1,81,0.2,24,24,25,17,HIGH
Public Class,1,1,1,1,17,1,14,2,2,18,0,0,1,31,8,31,35,6,6,1,18,694,88,508,126,359,98,276,379,152,227,7,7,8,5,3,2,92,0.19,59,59,61,38,HIGH
Public Abstract Class,2,2,2,1,11,0,6,5,1,3,2,0,1,8,1,8,29,0,0,6,2,111,11,56,15,31,44,21,39,12,27,5,5,5,1,3,1,75,0.79,17,17,17,8,HIGH
Public Class,6,6,9,1,39,2,31,5,2,12,0,1,1,9,2,10,119,1,1,5,3,434,41,316,75,243,78,134,193,69,124,33,33,55,4,8,4,86,0.25,65,65,94,17,HIGH
Public Class,2,2,3,1,9,0,9,0,1,4,0,0,0,5,1,5,5,0,0,0,5,78,4,50,14,36,24,30,44,16,28,7,7,8,3,1,2,40,0.48,14,14,15,7,HIGH
Public Class,5,5,6,1,39,4,26,8,1,34,0,2,3,15,4,17,59,0,6,6,5,802,104,482,140,341,216,259,361,126,235,21,21,24,3,3,7,89,0.45,98,97,109,21,HIGH
Public Class,2,2,2,1,13,2,9,1,1,7,0,0,0,14,2,14,44,0,0,1,13,213,53,135,43,82,25,82,117,47,70,7,7,7,6,2,2,82,0.19,34,34,34,26,HIGH
Public Class,1,1,1,1,16,1,8,6,1,13,0,1,0,4,2,5,30,0,0,0,5,120,11,48,14,27,61,20,30,13,17,5,5,5,5,2,1,19,1.27,9,9,9,9,HIGH
Public Class,3,3,5,3,19,0,13,4,1,7,0,0,1,4,0,4,32,1,0,1,2,115,9,60,15,41,46,24,40,13,27,9,9,12,9,5,3,75,0.77,15,15,20,12,HIGH
Public Class,9,8,12,3,58,2,47,10,2,56,0,0,2,16,0,16,398,0,6,0,10,992,58,761,151,628,184,333,464,144,320,39,29,46,14,6,5,78,0.24,151,134,196,53,HIGH
Public Class,6,6,7,1,54,5,36,13,1,73,0,1,6,39,8,40,51,0,28,0,12,2285,265,1490,339,1191,562,891,1132,299,833,36,36,40,9,2,6,94,0.38,246,241,284,73,HIGH
Public Abstract Generic Class,2,2,2,1,16,1,10,5,1,16,3,1,0,36,19,37,52,2,6,18,11,963,119,560,182,365,305,318,459,181,278,7,7,7,7,3,6,90,0.54,91,91,93,55,HIGH
Public Class,4,4,4,1,31,8,21,2,1,11,0,0,0,3,2,3,19,0,0,0,3,103,29,67,11,52,7,31,45,12,33,9,9,10,3,2,4,16,0.1,12,12,13,5,HIGH
Private Class,1,1,1,1,8,0,8,0,2,16,0,0,0,12,2,12,12,0,0,0,12,120,13,107,30,57,0,53,71,32,39,3,3,3,1,1,1,83,0,15,15,15,12,HIGH
Public Class,1,1,1,1,9,0,8,1,1,7,0,0,0,6,4,6,13,0,0,0,6,74,7,55,10,28,12,27,37,9,28,2,2,3,1,2,1,16,0.22,9,9,10,6,HIGH
Public Class,8,6,9,3,56,14,40,0,1,47,1,0,0,29,0,29,227,10,19,0,0,1692,460,1186,200,899,46,620,809,158,651,52,32,60,23,4,4,0,0.04,246,193,265,105,HIGH
Public Class,1,1,1,1,8,0,8,0,2,8,0,0,2,9,3,9,64,0,1,0,8,107,17,83,25,51,8,46,62,23,39,4,4,4,1,3,1,84,0.1,13,13,13,9,HIGH
Public Class,1,1,1,1,12,1,9,4,2,4,0,0,7,6,0,6,81,0,0,1,5,107,18,71,22,47,39,42,51,16,35,4,4,4,1,3,1,85,0.55,9,9,9,6,HIGH
Public Abstract Class,1,1,2,1,11,0,7,3,5,35,7,5,70,112,1,117,172,1,6,9,101,1791,214,1099,353,682,576,517,765,328,437,25,25,30,8,3,5,98,0.52,228,228,257,134,HIGH
Class,4,4,4,1,15,0,15,0,1,3,0,0,0,3,0,3,19,0,0,2,1,59,3,50,9,37,6,23,37,7,30,9,9,9,1,2,2,0,0.12,13,13,13,3,HIGH
Public Class,4,4,4,2,19,0,16,3,1,20,1,0,5,29,16,29,100,7,7,1,14,658,36,531,173,376,92,276,391,150,241,19,19,21,12,2,9,89,0.17,128,117,136,61,HIGH
Public Class,3,2,3,1,16,4,11,0,1,12,0,0,0,9,4,9,45,3,0,1,5,170,48,112,21,75,10,54,75,21,54,10,7,11,8,2,4,83,0.09,29,20,30,16,HIGH
Public Class,6,6,6,1,37,4,31,1,1,3,0,0,0,2,0,2,25,0,0,0,2,128,10,65,9,45,53,33,47,11,36,12,12,12,1,2,3,0,0.82,13,13,13,2,HIGH
Public Class,2,2,2,1,17,0,16,0,1,16,0,1,0,25,24,26,47,1,1,0,24,582,50,507,98,345,25,304,366,98,268,8,8,11,1,3,2,73,0.05,59,59,69,26,HIGH
Public Class,4,3,4,2,17,3,13,0,1,13,2,1,1,32,0,33,119,2,0,1,30,664,159,455,79,313,51,172,268,66,202,18,12,19,9,2,3,93,0.11,137,113,149,79,HIGH
Public Class,5,5,6,2,21,0,19,2,1,16,0,9,1,5,1,14,14,0,1,0,13,345,17,286,70,228,42,146,228,68,160,20,20,24,12,1,3,89,0.15,79,79,88,34,HIGH
Static Abstract Class,1,1,1,1,14,2,11,2,1,4,7,0,0,5,3,5,5,2,0,3,0,77,15,51,15,27,19,19,26,15,11,2,2,2,1,1,1,66,0.37,6,6,6,4,HIGH
Public Abstract Class,4,4,4,2,15,0,13,0,2,15,2,0,1,17,1,17,33,0,0,7,10,185,17,149,36,102,19,66,107,37,70,12,12,15,7,3,5,65,0.13,41,41,44,23,HIGH
Public Class,2,2,2,1,19,3,15,1,1,3,0,1,1,2,1,3,3,0,2,0,1,68,14,49,15,35,5,30,38,16,22,6,6,6,1,1,2,66,0.1,8,8,8,3,HIGH
Public Class,8,8,9,1,33,1,32,0,1,1,0,3,0,2,1,5,5,0,0,0,5,174,10,164,22,119,0,110,155,25,130,33,33,33,1,1,4,60,0,44,44,45,5,HIGH
Public Class,1,1,1,1,4,0,4,0,1,2,0,0,0,6,0,6,15,0,0,3,3,65,8,27,9,12,31,13,21,10,11,2,2,2,1,3,1,0,1.15,7,7,7,6,HIGH
Public Class,2,2,2,1,20,1,11,7,1,16,0,0,1,16,0,16,22,0,13,0,3,370,43,190,64,147,137,83,109,54,55,17,17,17,1,2,1,87,0.72,37,37,38,16,HIGH
Public Class,2,2,3,1,11,0,8,3,2,8,0,0,1,9,5,9,9,0,0,0,9,143,11,89,21,56,43,33,54,18,36,7,5,7,5,1,3,75,0.48,25,20,27,13,HIGH
Public Class,2,2,3,1,22,0,19,2,2,16,0,0,6,33,18,33,33,0,10,0,23,991,101,811,160,559,81,518,624,171,453,12,12,16,7,1,4,88,0.1,95,95,103,43,HIGH
Public Class,11,11,13,4,73,4,61,6,3,75,0,0,13,34,94,34,34,0,0,22,12,2632,234,2163,318,1641,236,1336,1724,352,1372,47,47,62,29,1,8,86,0.11,375,375,445,140,HIGH
Public Class,2,2,2,1,18,0,16,2,1,8,0,0,1,10,5,10,10,1,3,0,6,238,13,176,45,135,49,121,154,48,106,10,10,10,4,2,4,85,0.28,29,29,29,13,HIGH
Public Class,3,3,3,1,40,18,21,0,1,5,0,21,1,0,0,21,21,0,1,0,20,870,413,457,104,369,1,215,294,89,205,11,11,14,1,1,7,95,0,78,78,82,21,HIGH
Public Class,4,4,5,2,21,0,18,3,2,41,1,24,4,115,42,139,139,8,9,21,101,3589,197,2853,633,2146,552,1664,2354,700,1654,47,43,58,16,1,6,96,0.19,651,621,743,337,HIGH
Public Class,4,3,4,2,23,0,16,6,1,24,0,28,6,0,0,28,28,0,5,0,23,796,63,489,109,356,248,221,331,106,225,23,23,31,17,1,6,90,0.51,114,110,126,69,HIGH
Public Class,3,3,3,1,17,1,13,3,1,33,0,0,0,38,17,38,50,0,10,1,27,754,82,520,125,354,153,278,410,136,274,29,29,39,5,2,6,90,0.29,135,135,150,42,HIGH
Public Class,5,5,5,1,26,1,23,1,1,13,0,1,3,19,2,20,20,0,1,0,19,571,61,471,101,339,40,321,419,132,287,14,14,16,6,1,4,74,0.08,100,100,106,37,HIGH
Public Class,6,5,6,2,49,4,44,1,1,17,0,0,0,11,18,11,25,0,4,0,7,596,74,506,71,403,17,302,385,77,308,22,22,27,11,3,4,78,0.03,66,60,75,29,HIGH
Public Class,2,2,2,1,14,2,9,2,1,13,0,0,1,11,2,11,51,0,0,0,11,197,52,116,26,80,29,66,90,24,66,5,5,5,1,3,3,78,0.25,23,23,23,11,HIGH
Public Class,2,2,2,1,19,2,17,0,1,7,0,0,1,4,3,4,4,0,1,0,3,92,17,73,25,54,3,59,66,30,36,7,7,7,1,1,4,56,0.04,11,11,11,4,HIGH
Public Class,8,8,10,2,56,1,52,2,2,13,0,0,6,29,8,29,29,0,6,0,23,1741,94,1569,165,1135,78,1030,1271,192,1079,53,53,57,10,1,7,86,0.05,249,249,299,60,HIGH
