Results	Entity	Line	Column	CheckID	Check Name
                Comment/Code Ratio too low (11%)	DefaultExecutor.executeTargets	36		METRIC_02	Program Unit Comment to Code Ratio
              IgnoreDependenciesExecutor.java					
                Fixed Value(0) used incorrectly	i	45	21	JAVA_01	Magic Numbers - Java
                Comment/Code Ratio too low (9%)	IgnoreDependenciesExecutor.executeTargets	41		METRIC_02	Program Unit Comment to Code Ratio
                Complexity(6) greater than allowed(5)	IgnoreDependenciesExecutor.executeTargets	41	16	METRIC_03	Program Unit Cyclomatic Complexity
              ProjectHelper2.java					
                Fixed Value(1) used incorrectly	length	133	28	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	tasks	136	38	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	size	155	38	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	extensionInfo	185	46	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	extensionInfo	186	44	JAVA_01	Magic Numbers - Java
                Fixed Value(2) used incorrectly	extensionInfo	188	47	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	pling	281	29	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	indexOf	283	54	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	pling	287	76	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	496	29	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	742	25	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	766	76	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	927	25	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	1006	35	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	1059	71	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	1174	25	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	index	1190	33	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	index	1198	82	JAVA_01	Magic Numbers - Java
                No exit point in method	AntHandler.onStartChild	450	26	JAVA_03	Single exit point at end
                No exit point in method	ElementHandler.ElementHandler	1115	15	JAVA_03	Single exit point at end
                Exit point not at end of method	MainHandler.onStartChild	683	26	JAVA_03	Single exit point at end
                Exit point not at end of method	ProjectHandler.onStartElement	722	20	JAVA_03	Single exit point at end
                No exit point in method	RootHandler.RootHandler	526	15	JAVA_03	Single exit point at end
                Multiple exit points from method	RootHandler.resolveEntity	550	27	JAVA_03	Single exit point at end
                Multiple exit points from method	TargetHandler.getTargetPrefix	1057	23	JAVA_03	Single exit point at end
                Violation: AntHandler.checkNamespace defined but not called.	AntHandler.checkNamespace	506	23	JAVA_04	Unused Methods
                Violation: RootHandler.resolveEntity defined but not called.	RootHandler.resolveEntity	550	27	JAVA_04	Unused Methods
                Violation: RootHandler.startElement defined but not called.	RootHandler.startElement	595	20	JAVA_04	Unused Methods
                Violation: RootHandler.endElement defined but not called.	RootHandler.endElement	624	20	JAVA_04	Unused Methods
                Violation: RootHandler.characters defined but not called.	RootHandler.characters	641	20	JAVA_04	Unused Methods
                Violation: RootHandler.startPrefixMapping defined but not called.	RootHandler.startPrefixMapping	651	20	JAVA_04	Unused Methods
                Violation: RootHandler.endPrefixMapping defined but not called.	RootHandler.endPrefixMapping	660	20	JAVA_04	Unused Methods
                Calling too many functions (9)	ProjectHelper2.parseUnknownElement	122	26	METRIC_00	Program Unit Call Count
                Calling too many functions (32)	ProjectHelper2.parse	146	16	METRIC_00	Program Unit Call Count
                Calling too many functions (37)	ProjectHelper2.parse	224	16	METRIC_00	Program Unit Call Count
                Calling too many functions (36)	ElementHandler.onStartElement	1136	20	METRIC_00	Program Unit Call Count
                Calling too many functions (35)	ProjectHandler.onStartElement	722	20	METRIC_00	Program Unit Call Count
                Calling too many functions (12)	RootHandler.resolveEntity	550	27	METRIC_00	Program Unit Call Count
                Calling too many functions (43)	TargetHandler.onStartElement	913	20	METRIC_00	Program Unit Call Count
                Comment/Code Ratio too low (0%)	TargetHandler.getTargetPrefix	1057		METRIC_02	Program Unit Comment to Code Ratio
                Complexity(8) greater than allowed(5)	ProjectHelper2.parse	146	16	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(23) greater than allowed(5)	ProjectHelper2.parse	224	16	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(9) greater than allowed(5)	ElementHandler.onStartElement	1136	20	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(27) greater than allowed(5)	ProjectHandler.onStartElement	722	20	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(30) greater than allowed(5)	TargetHandler.onStartElement	913	20	METRIC_03	Program Unit Cyclomatic Complexity
                Max Length(60) Exceeded: 75 lines.	ProjectHelper2.parse	146		METRIC_04	Program Unit Max Length
                Max Length(60) Exceeded: 125 lines.	ProjectHelper2.parse	224		METRIC_04	Program Unit Max Length
                Max Length(60) Exceeded: 90 lines.	ElementHandler.onStartElement	1136		METRIC_04	Program Unit Max Length
                Max Length(60) Exceeded: 156 lines.	ProjectHandler.onStartElement	722		METRIC_04	Program Unit Max Length
                Max Length(60) Exceeded: 163 lines.	TargetHandler.onStartElement	913		METRIC_04	Program Unit Max Length
                Too many Paths (336)	ProjectHelper2.parse	224		METRIC_07	Program Unit Path Count
                Too many Paths (4060)	ProjectHandler.onStartElement	722		METRIC_07	Program Unit Path Count
                Too many Paths (57600)	TargetHandler.onStartElement	913		METRIC_07	Program Unit Path Count
                Too many statements (69)	ProjectHelper2.parse	224		METRIC_08	Program Unit Statement Count
                Too many statements (69)	ProjectHandler.onStartElement	722		METRIC_08	Program Unit Statement Count
                Too many statements (84)	TargetHandler.onStartElement	913		METRIC_08	Program Unit Statement Count
              ProjectHelperImpl.java					
                Fixed Value(0) used incorrectly	length	246	29	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	386	25	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	522	25	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	570	35	JAVA_01	Magic Numbers - Java
                No exit point in method	AbstractHandler.AbstractHandler	207	15	JAVA_03	Single exit point at end
                No exit point in method	DataTypeHandler.DataTypeHandler	942	15	JAVA_03	Single exit point at end
                No exit point in method	DescriptionHandler.DescriptionHandler	622	15	JAVA_03	Single exit point at end
                No exit point in method	NestedElementHandler.NestedElementHandler	825	15	JAVA_03	Single exit point at end
                No exit point in method	ProjectHandler.ProjectHandler	360	15	JAVA_03	Single exit point at end
                No exit point in method	RootHandler.RootHandler	276	15	JAVA_03	Single exit point at end
                Multiple exit points from method	RootHandler.resolveEntity	289	27	JAVA_03	Single exit point at end
                No exit point in method	TargetHandler.TargetHandler	493	15	JAVA_03	Single exit point at end
                No exit point in method	TaskHandler.TaskHandler	695	15	JAVA_03	Single exit point at end
                No exit point in method	ProjectHelperImpl.ProjectHelperImpl	94	11	JAVA_03	Single exit point at end
                Violation: AbstractHandler.startElement defined but not called.	AbstractHandler.startElement	227	20	JAVA_04	Unused Methods
                Violation: AbstractHandler.characters defined but not called.	AbstractHandler.characters	243	20	JAVA_04	Unused Methods
                Violation: AbstractHandler.endElement defined but not called.	AbstractHandler.endElement	262	20	JAVA_04	Unused Methods
                Violation: RootHandler.resolveEntity defined but not called.	RootHandler.resolveEntity	289	27	JAVA_04	Unused Methods
                Violation: RootHandler.startElement defined but not called.	RootHandler.startElement	328	20	JAVA_04	Unused Methods
                Calling too many functions (23)	ProjectHelperImpl.parse	106	16	METRIC_00	Program Unit Call Count
                Calling too many functions (8)	ProjectHelperImpl.handleElement	599	24	METRIC_00	Program Unit Call Count
                Calling too many functions (12)	NestedElementHandler.init	857	20	METRIC_00	Program Unit Call Count
                Calling too many functions (14)	ProjectHandler.init	380	20	METRIC_00	Program Unit Call Count
                Calling too many functions (9)	RootHandler.resolveEntity	289	27	METRIC_00	Program Unit Call Count
                Calling too many functions (15)	TargetHandler.init	514	20	METRIC_00	Program Unit Call Count
                Calling too many functions (13)	TaskHandler.init	720	20	METRIC_00	Program Unit Call Count
                Called by too many functions (6)	AbstractHandler.AbstractHandler	207	15	METRIC_01	Program Unit Callby Count
                Complexity(11) greater than allowed(5)	ProjectHelperImpl.parse	106	16	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(12) greater than allowed(5)	ProjectHandler.init	380	20	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(12) greater than allowed(5)	TargetHandler.init	514	20	METRIC_03	Program Unit Cyclomatic Complexity
                Max Length(60) Exceeded: 67 lines.	ProjectHelperImpl.parse	106		METRIC_04	Program Unit Max Length
                Max Length(60) Exceeded: 75 lines.	ProjectHandler.init	380		METRIC_04	Program Unit Max Length
                Max Length(60) Exceeded: 77 lines.	TargetHandler.init	514		METRIC_04	Program Unit Max Length
                Too many Paths (192)	ProjectHandler.init	380		METRIC_07	Program Unit Path Count
            input					
              DefaultInputHandler.java					
                No exit point in method	DefaultInputHandler.DefaultInputHandler	39	11	JAVA_03	Single exit point at end
                Multiple exit points from method	DefaultInputHandler.getPrompt	85	21	JAVA_03	Single exit point at end
                Calling too many functions (8)	DefaultInputHandler.handleInput	48	16	METRIC_00	Program Unit Call Count
                Calling too many functions (9)	DefaultInputHandler.getPrompt	85	21	METRIC_00	Program Unit Call Count
                Complexity(7) greater than allowed(5)	DefaultInputHandler.getPrompt	85	21	METRIC_03	Program Unit Cyclomatic Complexity
              GreedyInputHandler.java					
                No exit point in method	GreedyInputHandler.GreedyInputHandler	37	11	JAVA_03	Single exit point at end
                Calling too many functions (12)	GreedyInputHandler.handleInput	46	16	METRIC_00	Program Unit Call Count
              InputRequest.java					
                No exit point in method	InputRequest.InputRequest	35	11	JAVA_03	Single exit point at end
              MultipleChoiceInputRequest.java					
                No exit point in method	MultipleChoiceInputRequest.MultipleChoiceInputRequest	37	11	JAVA_03	Single exit point at end
              PropertyFileInputHandler.java					
                No exit point in method	PropertyFileInputHandler.PropertyFileInputHandler	43	11	JAVA_03	Single exit point at end
              SecureInputHandler.java					
                No exit point in method	SecureInputHandler.SecureInputHandler	34	11	JAVA_03	Single exit point at end
                Calling too many functions (8)	SecureInputHandler.handleInput	42	16	METRIC_00	Program Unit Call Count
            launch					
              Launcher.java					
                Fixed Value(2) used incorrectly	Launcher.EXIT_CODE_ERROR	98	49	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	exitCode	117	24	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	indexOf	142	45	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	j	148	29	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	200	21	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	length	202	39	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	length	208	39	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	length	224	39	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	net.URL	250	47	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	length	260	58	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	265	21	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	exitCode	275	23	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	libJars	380	34	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	userJars	381	35	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	systemJars	382	37	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	length	386	31	JAVA_01	Magic Numbers - Java
                Calling too many functions (9)	Launcher.addPath	136	17	METRIC_00	Program Unit Call Count
                Calling too many functions (32)	Launcher.run	170	16	METRIC_00	Program Unit Call Count
                Comment/Code Ratio too low (0%)	Launcher.logPath	403		METRIC_02	Program Unit Comment to Code Ratio
                Complexity(7) greater than allowed(5)	Launcher.addPath	136	17	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(24) greater than allowed(5)	Launcher.run	170	16	METRIC_03	Program Unit Cyclomatic Complexity
                Max Length(60) Exceeded: 145 lines.	Launcher.run	170		METRIC_04	Program Unit Max Length
                Too many Paths (6656)	Launcher.run	170		METRIC_07	Program Unit Path Count
                Too many statements (88)	Launcher.run	170		METRIC_08	Program Unit Statement Count
              LaunchException.java					
                No exit point in method	LaunchException.LaunchException	33	11	JAVA_03	Single exit point at end
              Locator.java					
                Fixed Value(4) used incorrectly	Locator.NIBBLE	50	38	JAVA_01	Magic Numbers - Java
                Fixed Value(0xF) used incorrectly	Locator.NIBBLE_MASK	51	45	JAVA_01	Magic Numbers - Java
                Fixed Value(128) used incorrectly	Locator.ASCII_SIZE	53	42	JAVA_01	Magic Numbers - Java
                Fixed Value(256) used incorrectly	Locator.BYTE_SIZE	55	41	JAVA_01	Magic Numbers - Java
                Fixed Value(16) used incorrectly	Locator.WORD	57	36	JAVA_01	Magic Numbers - Java
                Fixed Value(0x20) used incorrectly	Locator.SPACE	59	37	JAVA_01	Magic Numbers - Java
                Fixed Value(0x7F) used incorrectly	Locator.DEL	60	35	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	82	21	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	94	21	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	substring	149	49	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	241	27	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	queryPos	246	31	JAVA_01	Magic Numbers - Java
                Fixed Value(2) used incorrectly	length	250	84	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	posi	263	24	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	indexOf	298	33	JAVA_01	Magic Numbers - Java
                Fixed Value(0x0000) used incorrectly	c	315	28	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	bytes	319	32	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	334	16	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	ch	336	17	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	substring	346	57	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	substring	360	53	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	369	21	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	b	372	24	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	substring	449	16	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	net.URL	495	29	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	net.URL	501	27	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	504	25	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	urls	506	25	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	516	33	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	525	21	JAVA_01	Magic Numbers - Java
                No exit point in method	Locator.Locator	104	12	JAVA_03	Single exit point at end
                Multiple exit points from method	Locator.decodeUri	297	25	JAVA_03	Single exit point at end
                Exit point not at end of method	Locator.fileToURL	402	22	JAVA_03	Single exit point at end
                Exit point not at end of method	Locator.getLocationURLs	473	24	JAVA_03	Single exit point at end
                Multiple exit points from method	Locator.getLocationURLs	492	24	JAVA_03	Single exit point at end
                Multiple exit points from method	(Anon_1).accept	514	31	JAVA_03	Single exit point at end
                Multiple exit points from method	Locator.getResourceSource	132	23	JAVA_03	Single exit point at end
                Multiple exit points from method	Locator.getToolsJar	419	23	JAVA_03	Single exit point at end
                Violation: (Anon_1).accept defined but not called.	(Anon_1).accept	514	31	JAVA_04	Unused Methods
                Calling too many functions (9)	Locator.getResourceSource	132	23	METRIC_00	Program Unit Call Count
                Calling too many functions (18)	Locator.fromURIJava13	228	26	METRIC_00	Program Unit Call Count
                Calling too many functions (9)	Locator.decodeUri	297	25	METRIC_00	Program Unit Call Count
                Calling too many functions (9)	Locator.getToolsJar	419	23	METRIC_00	Program Unit Call Count
                Called by too many functions (6)	Locator.fromURI	179	25	METRIC_01	Program Unit Callby Count
                Comment/Code Ratio too low (0%)	(Anon_1).accept	514		METRIC_02	Program Unit Comment to Code Ratio
                Complexity(7) greater than allowed(5)	Locator.getResourceSource	132	23	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(8) greater than allowed(5)	Locator.fromURIJava13	228	26	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(7) greater than allowed(5)	Locator.decodeUri	297	25	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(12) greater than allowed(5)	Locator.encodeURI	333	25	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(7) greater than allowed(5)	Locator.getToolsJar	419	23	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(6) greater than allowed(5)	Locator.getLocationURLs	492	24	METRIC_03	Program Unit Cyclomatic Complexity
                Max Length(60) Exceeded: 63 lines.	Locator.encodeURI	333		METRIC_04	Program Unit Max Length
                Too many Paths (81)	Locator.encodeURI	333		METRIC_07	Program Unit Path Count
            listener					
              AnsiColorLogger.java					
                Fixed Value(2) used incorrectly	AnsiColorLogger.ATTR_DIM	102	40	JAVA_01	Magic Numbers - Java
                Fixed Value(31) used incorrectly	AnsiColorLogger.FG_RED	109	38	JAVA_01	Magic Numbers - Java
                Fixed Value(32) used incorrectly	AnsiColorLogger.FG_GREEN	110	40	JAVA_01	Magic Numbers - Java
                Fixed Value(34) used incorrectly	AnsiColorLogger.FG_BLUE	112	39	JAVA_01	Magic Numbers - Java
                Fixed Value(35) used incorrectly	AnsiColorLogger.FG_MAGENTA	113	42	JAVA_01	Magic Numbers - Java
                Fixed Value(36) used incorrectly	AnsiColorLogger.FG_CYAN	114	39	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	insert	217	31	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	insert	221	31	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	insert	225	31	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	insert	229	31	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	insert	235	31	JAVA_01	Magic Numbers - Java
                Comment/Code Ratio too low (17%)	AnsiColorLogger.printMessage	205		METRIC_02	Program Unit Comment to Code Ratio
                Complexity(11) greater than allowed(5)	AnsiColorLogger.setColors	148	17	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(8) greater than allowed(5)	AnsiColorLogger.printMessage	205	19	METRIC_03	Program Unit Cyclomatic Complexity
                Too many Paths (387)	AnsiColorLogger.setColors	148		METRIC_07	Program Unit Path Count
              BigProjectLogger.java					
                Calling too many functions (8)	BigProjectLogger.subBuildStarted	122	16	METRIC_00	Program Unit Call Count
                Comment/Code Ratio too low (10%)	BigProjectLogger.maybeRaiseSubBuildStarted	183		METRIC_02	Program Unit Comment to Code Ratio
              CommonsLoggingListener.java					
                No exit point in method	CommonsLoggingListener.CommonsLoggingListener	74	11	JAVA_03	Single exit point at end
                Multiple exit points from method	CommonsLoggingListener.getLog	77	16	JAVA_03	Single exit point at end
                Calling too many functions (8)	CommonsLoggingListener.taskStarted	167	16	METRIC_00	Program Unit Call Count
                Calling too many functions (9)	CommonsLoggingListener.taskFinished	189	16	METRIC_00	Program Unit Call Count
                Calling too many functions (11)	CommonsLoggingListener.messageLogged	218	16	METRIC_00	Program Unit Call Count
                Called by too many functions (7)	CommonsLoggingListener.getLog	77	16	METRIC_01	Program Unit Callby Count
                Called by too many functions (7)	CommonsLoggingListener.realLog	252	17	METRIC_01	Program Unit Callby Count
                Comment/Code Ratio too low (0%)	CommonsLoggingListener.getLog	77		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (17%)	CommonsLoggingListener.buildFinished	115		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	CommonsLoggingListener.realLog	252		METRIC_02	Program Unit Comment to Code Ratio
                Complexity(6) greater than allowed(5)	CommonsLoggingListener.taskFinished	189	16	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(9) greater than allowed(5)	CommonsLoggingListener.realLog	252	17	METRIC_03	Program Unit Cyclomatic Complexity
              Log4jListener.java					
                No exit point in method	Log4jListener.Log4jListener	47	11	JAVA_03	Single exit point at end
                Calling too many functions (8)	Log4jListener.taskFinished	126	16	METRIC_00	Program Unit Call Count
                Calling too many functions (12)	Log4jListener.messageLogged	143	16	METRIC_00	Program Unit Call Count
                Comment/Code Ratio too low (15%)	Log4jListener.messageLogged	143		METRIC_02	Program Unit Comment to Code Ratio
                Complexity(9) greater than allowed(5)	Log4jListener.messageLogged	143	16	METRIC_03	Program Unit Cyclomatic Complexity
              MailLogger.java					
                Fixed Value(0) used incorrectly	substring	161	50	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	substring	164	65	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	344	40	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	352	44	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	382	49	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	385	40	JAVA_01	Magic Numbers - Java
                Exit point not at end of method	MailLogger.buildFinished	99	16	JAVA_03	Single exit point at end
                Exit point not at end of method	MailLogger.sendMimeMail	362	17	JAVA_03	Single exit point at end
                Calling too many functions (40)	MailLogger.buildFinished	99	16	METRIC_00	Program Unit Call Count
                Calling too many functions (23)	MailLogger.sendMail	324	17	METRIC_00	Program Unit Call Count
                Calling too many functions (41)	MailLogger.sendMimeMail	362	17	METRIC_00	Program Unit Call Count
                Comment/Code Ratio too low (0%)	MailLogger.vectorizeEmailAddresses	400		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.mailhost	174		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.mailhost	177		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.port	182		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.port	185		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.user	190		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.user	193		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.password	198		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.password	201		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.ssl	206		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.ssl	209		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.from	214		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.from	217		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.replytoList	222		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.replytoList	225		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.toList	230		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.toList	233		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.subject	238		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.subject	241		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.charset	246		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.charset	249		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.mimeType	254		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.mimeType	257		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.body	262		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.body	265		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.starttls	270		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	Values.starttls	273		METRIC_02	Program Unit Comment to Code Ratio
                Complexity(9) greater than allowed(5)	MailLogger.buildFinished	99	16	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(6) greater than allowed(5)	MailLogger.sendMail	324	17	METRIC_03	Program Unit Cyclomatic Complexity
                Max Length(60) Exceeded: 77 lines.	MailLogger.buildFinished	99		METRIC_04	Program Unit Max Length
              ProfileLogger.java					
                Comment/Code Ratio too low (0%)	ProfileLogger.logFinish	91		METRIC_02	Program Unit Comment to Code Ratio
                Comment/Code Ratio too low (0%)	ProfileLogger.logStart	106		METRIC_02	Program Unit Comment to Code Ratio
              SimpleBigProjectLogger.java					
                Multiple exit points from method	SimpleBigProjectLogger.extractTargetName	36	21	JAVA_03	Single exit point at end
            loader					
              AntClassLoader2.java					
                No exit point in method	AntClassLoader2.AntClassLoader2	29	11	JAVA_03	Single exit point at end
              AntClassLoader5.java					
                No exit point in method	AntClassLoader5.AntClassLoader5	49	11	JAVA_03	Single exit point at end
                Violation: AntClassLoader5.close defined but not called.	AntClassLoader5.close	60	16	JAVA_04	Unused Methods
            property					
              LocalProperties.java					
                No exit point in method	LocalProperties.LocalProperties	58	12	JAVA_03	Single exit point at end
                Violation: LocalProperties.initialValue defined but not called.	LocalProperties.initialValue	65	34	JAVA_04	Unused Methods
                Called by too many functions (6)	LocalProperties.get	38	47	METRIC_01	Program Unit Callby Count
                Called by too many functions (7)	LocalProperties.current	69	31	METRIC_01	Program Unit Callby Count
                Comment/Code Ratio too low (0%)	LocalProperties.current	69		METRIC_02	Program Unit Comment to Code Ratio
              LocalPropertyStack.java					
                Multiple exit points from method	LocalPropertyStack.evaluate	94	18	JAVA_03	Single exit point at end
                Multiple exit points from method	LocalPropertyStack.getMapForProperty	141	16	JAVA_03	Single exit point at end
                Multiple exit points from method	LocalPropertyStack.set	132	19	JAVA_03	Single exit point at end
                Multiple exit points from method	LocalPropertyStack.setNew	112	19	JAVA_03	Single exit point at end
                Comment/Code Ratio too low (0%)	LocalPropertyStack.getMapForProperty	141		METRIC_02	Program Unit Comment to Code Ratio
              NullReturn.java					
                No exit point in method	NullReturn.NullReturn	29	12	JAVA_03	Single exit point at end
                Violation: NullReturn.toString defined but not called.	NullReturn.toString	35	18	JAVA_04	Unused Methods
              ParseNextProperty.java					
                Violation: ParseNextProperty.parseNextProperty defined but not called.	ParseNextProperty.parseNextProperty	43	11	JAVA_04	Unused Methods
              ParseProperties.java					
                Fixed Value(0) used incorrectly	text.ParsePosition	97	46	JAVA_01	Magic Numbers - Java
                Fixed Value(2) used incorrectly	len	102	49	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	getIndex	105	42	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	getIndex	113	46	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	text.ParsePosition	136	51	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	getIndex	140	42	JAVA_01	Magic Numbers - Java
                No exit point in method	ParseProperties.ParseProperties	42	11	JAVA_03	Single exit point at end
                Multiple exit points from method	ParseProperties.containsProperties	131	19	JAVA_03	Single exit point at end
