Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
20,5,5,6,3,31,1,22,8,2,77,0,0,2,109,10,109,109,0,41,0,68,3640,308,2428,460,1849,958,1074,1660,448,1212,40,26,53,25,1,6,88,0.39,632,582,761,358,0
20,1,1,1,1,10,0,5,4,1,5,0,0,1,6,4,6,6,0,0,0,6,117,19,42,16,20,56,19,30,15,15,3,3,3,3,1,1,73,1.33,10,10,10,8,3
20,3,2,3,1,20,0,13,6,2,16,0,1,3,27,7,28,145,0,2,4,22,909,86,549,139,375,277,256,384,133,251,15,13,18,9,3,4,85,0.5,98,79,105,45,0
20,5,5,7,1,39,1,26,11,1,23,0,0,11,11,0,11,24,0,4,0,7,496,34,317,82,233,151,125,194,67,127,14,14,16,3,2,5,90,0.48,63,63,83,13,0
20,8,8,9,3,46,1,32,12,1,40,0,2,18,29,15,31,31,0,13,0,18,1643,113,1099,265,823,456,559,872,287,585,61,61,67,30,1,8,91,0.41,267,261,296,100,0
20,8,8,9,4,47,2,37,8,2,46,0,0,2,15,4,15,15,0,9,0,6,804,62,597,170,441,149,299,452,178,274,52,48,55,31,1,5,75,0.25,124,120,135,66,2
20,8,8,10,3,51,2,37,11,1,24,0,3,5,16,5,19,19,0,13,0,6,1054,83,718,179,544,261,388,564,192,372,32,32,33,21,1,6,85,0.36,168,161,201,66,2
