Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",1,1,1,1,6,0,4,3,,,,50,20,1,,44,,21,27,41,,2,0,0,39,,924,107,344,175,88,545,,,,119,228,167,61,,,,,,3,3,3,1,,,1,,,1.58,59,59,59,38
Public Class,"A",0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,1,0,0,0,0,0,0,,3,0,3,2,1,0,,,,1,2,2,0,,,,,,0,0,0,0,,3,0,,0,0.00,0,0,0,0
Public Class,"A",0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,1,0,0,0,0,0,0,,3,0,3,2,1,0,,,,1,2,2,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Public Class,"A",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,4,0,4,2,0,0,,,,0,2,2,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Public Class,"A",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,6,0,6,3,0,0,,,,0,3,3,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Private Static Class,"A.Inner",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,3,0,,0,0.00,0,0,0,0
Private Static Class,"A.Inner",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,4,0,4,2,0,0,,,,0,2,2,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Private Static Class,"A.Inner.Inner2",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,3,0,,0,0.00,0,0,0,0
File,"A.java",0,0,0,0,0,0,0,0,,,,2,0,0,0,,0,0,1,0,,0,0,0,0,,22,3,5,3,1,14,,,,1,3,3,0,,,,,,0,0,0,0,,,0,,,2.80,0,0,0,0
File,"A.java",0,0,0,0,0,0,0,0,,,,2,0,0,0,,0,0,0,0,,0,0,0,0,,21,3,4,2,0,14,,,,0,2,2,0,,,,,,0,0,0,0,,,0,,,3.50,0,0,0,0
File,"A.java",0,0,0,0,0,0,0,0,,,,3,0,0,0,,0,0,0,0,,0,0,0,0,,23,3,6,3,0,14,,,,0,3,3,0,,,,,,0,0,0,0,,,0,,,2.33,0,0,0,0
File,"A.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,20,3,3,2,1,14,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,4.67,0,0,0,0
File,"A.java",1,1,1,1,3,0,3,0,,,,1,2,1,3,,3,1,0,3,,0,0,1,2,,40,6,17,7,6,17,,,,7,11,6,5,,,,,,1,1,1,1,,,0,,,1.00,3,3,3,3
File,"ANTLR.java",2,2,2,1,13,0,8,4,,,,1,0,1,24,,24,24,13,24,,0,4,2,18,,437,44,248,78,137,145,,,,116,168,74,94,,,,,,10,10,10,4,,,3,,,0.58,52,52,56,27
File,"ANTLRTest.java",1,1,1,1,4,0,3,1,,,,3,0,1,21,,21,21,0,21,,0,0,0,21,,165,25,85,30,34,55,,,,37,61,30,31,,,,,,1,1,1,1,,,0,,,0.65,21,21,21,21
Class,"APrivate",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,3,0,,0,0.00,0,0,0,0
File,"AbstractAccessTask.java",1,1,1,1,9,0,4,5,,,,1,0,0,6,,6,6,0,6,,0,0,1,5,,110,12,36,15,15,62,,,,15,22,14,8,,,,,,2,2,3,1,,,0,,,1.72,7,7,8,6
File,"AbstractAnalyzer.java",1,1,1,1,14,0,6,7,,,,1,0,1,14,,16,16,7,16,,0,1,5,10,,285,26,114,39,57,145,,,,54,83,39,44,,,,,,7,7,7,6,,,4,,,1.27,27,27,27,19
File,"AbstractClasspathResource.java",2,2,2,1,11,0,8,3,,,,3,0,0,18,,19,19,5,19,,1,0,4,14,,265,20,157,40,89,88,,,,72,110,42,68,,,,,,6,6,7,3,,,3,,,0.56,36,36,39,20
File,"AbstractCvsTask.java",2,2,2,1,14,0,7,5,,,,2,0,3,47,,47,47,23,47,,0,2,9,36,,872,114,414,120,239,344,,,,194,290,121,169,,,,,,18,18,20,1,,,3,,,0.83,97,97,106,47
File,"AbstractCvsTaskTest.java",1,1,1,1,3,0,3,0,,,,1,0,0,7,,7,7,0,7,,0,0,0,7,,61,10,32,13,13,19,,,,16,24,13,11,,,,,,1,1,1,1,,,0,,,0.59,7,7,7,7
File,"AbstractFileSet.java",1,1,1,1,11,0,6,4,,,,1,0,0,66,,66,66,10,66,,0,0,3,63,,928,77,498,128,269,353,,,,245,369,132,237,,,,,,7,7,10,5,,,3,,,0.71,125,125,130,72
File,"AbstractFileSetTest.java",4,4,4,1,40,1,38,1,,,,1,0,0,5,,6,6,1,6,,0,0,2,4,,245,18,201,19,165,29,,,,93,116,19,97,,,,,,14,14,14,1,,,1,,,0.14,22,22,22,5
File,"AbstractHotDeploymentTool.java",1,1,1,1,8,0,3,4,,,,1,0,0,12,,14,14,5,14,,0,0,2,12,,193,23,59,23,19,111,,,,25,42,23,19,,,,,,4,4,4,1,,,1,,,1.88,16,16,16,12
