Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractJarSignerTask.java",1,1,1,1,11,0,5,5,,,,1,0,2,24,,24,24,13,24,,0,1,10,13,,410,39,170,70,83,201,,,,92,129,68,61,,,,,,4,4,4,1,,,2,,,1.18,37,37,38,24
File,"AbstractResourceCollectionWrapper.java",2,2,3,1,13,0,9,4,,,,1,0,1,10,,12,12,2,12,,0,1,4,7,,210,18,113,31,57,79,,,,53,81,30,51,,,,,,6,6,6,5,,,2,,,0.70,29,29,30,16
File,"AbstractScriptComponent.java",1,1,1,1,8,0,3,5,,,,1,0,0,12,,12,12,2,12,,0,0,2,10,,159,16,54,23,19,89,,,,26,40,23,17,,,,,,2,2,2,1,,,1,,,1.65,13,13,13,12
File,"AbstractSelectorContainer.java",1,1,1,1,9,0,5,4,,,,1,0,0,30,,30,30,1,30,,0,0,1,29,,355,38,170,50,80,147,,,,70,117,49,68,,,,,,5,5,5,3,,,3,,,0.86,47,47,47,32
File,"AbstractSshMessage.java",1,1,1,1,11,0,6,4,,,,3,0,1,17,,18,18,7,18,,0,0,9,9,,272,34,142,54,76,96,,,,66,97,49,48,,,,,,7,7,7,1,,,4,,,0.68,29,29,30,17
File,"AbstractUnicodeExtraField.java",1,1,1,1,8,0,5,2,,,,1,0,0,13,,13,13,3,13,,0,1,3,9,,162,24,83,25,40,55,,,,37,57,23,34,,,,,,3,3,3,1,,,1,,,0.66,19,19,19,13
File,"AbstractXSLTLiaisonTest.java",1,1,1,1,8,0,7,0,,,,1,0,1,6,,7,7,1,7,,0,0,4,3,,100,12,62,30,33,28,,,,40,50,30,20,,,,,,2,2,2,1,,,1,,,0.45,7,7,7,6
File,"AddTypeTest.java",1,1,1,1,3,0,3,0,,,,14,0,0,31,,31,31,4,31,,0,0,0,31,,186,27,141,59,41,18,,,,44,89,55,34,,,,,,1,1,1,1,,,0,,,0.13,31,31,31,31
File,"AggregateTransformer.java",1,1,1,1,14,0,9,5,,,,2,1,6,14,,14,13,6,14,,0,0,5,9,,340,38,175,78,95,127,,,,110,139,76,63,,,,,,5,5,5,1,,,2,,,0.73,27,27,27,14
File,"Algorithm.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,48,7,6,5,0,35,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,5.83,0,0,0,0
Public Class,"Alpha",1,1,1,1,3,0,3,0,1,0,1,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,2,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
File,"Alpha.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,21,2,5,2,1,14,,,,1,3,2,1,,,,,,1,1,1,1,,,0,,,2.80,1,1,1,1
Public Method,"Alpha.toString",,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
File,"AncestorAnalyzer.java",6,6,6,2,34,2,23,8,,,,1,0,0,3,,3,3,0,3,,0,0,2,1,,144,13,83,29,51,48,,,,53,67,34,33,,,,,,14,14,15,5,,,5,,,0.58,18,18,19,7
File,"And.java",1,1,1,1,8,0,4,4,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,58,7,18,7,5,33,,,,8,13,8,5,,,,,,3,3,3,3,,,2,,,1.83,5,5,5,5
File,"And.java",3,3,3,3,14,0,10,4,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,49,5,15,7,6,29,,,,7,11,7,4,,,,,,3,3,3,3,,,2,,,1.93,3,3,3,3
File,"AndSelector.java",2,2,2,1,13,0,8,5,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,77,9,29,10,14,39,,,,14,21,10,11,,,,,,3,3,3,3,,,2,,,1.34,6,6,6,5
File,"AnsiColorLogger.java",9,7,10,1,49,3,40,5,,,,1,0,10,2,,2,2,6,2,,0,1,1,0,,243,15,112,46,77,116,,,,62,78,38,40,,,,,,11,11,11,1,,,2,,,1.04,19,15,20,2
File,"Ant.java",2,2,3,1,18,0,11,6,,,,4,0,4,36,,36,36,15,36,,0,8,2,26,,843,84,454,129,282,305,,,,206,305,125,180,,,,,,22,22,31,7,,,4,,,0.67,99,99,110,44
File,"AntAnalyzer.java",5,5,6,2,36,2,26,7,,,,1,0,0,3,,3,3,0,3,,0,0,2,1,,150,13,94,38,59,43,,,,61,75,41,34,,,,,,15,15,16,5,,,5,,,0.46,17,17,18,7
File,"AntClassLoader.java",2,2,3,1,21,0,10,10,,,,2,2,6,64,,64,62,13,64,,1,12,10,41,,1566,104,741,214,447,727,,,,328,499,200,299,,,,,,12,12,14,9,,,4,,,0.98,181,181,196,100
File,"AntClassLoader2.java",1,1,1,1,3,0,2,1,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,31,3,6,4,0,22,,,,2,4,4,0,,,,,,1,1,1,1,,,0,,,3.67,1,1,1,1
File,"AntClassLoader5.java",1,1,1,1,9,0,3,6,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,63,5,19,12,3,39,,,,10,14,11,3,,,,,,1,1,1,1,,,0,,,2.05,3,3,3,3
File,"AntClassLoader5Test.java",1,1,1,1,7,0,5,1,,,,2,0,0,4,,4,4,0,4,,0,0,0,4,,65,7,34,18,13,24,,,,19,25,16,9,,,,,,1,1,1,1,,,0,,,0.71,4,4,4,4
File,"AntClassLoaderDelegationTest.java",1,1,1,1,8,0,7,1,,,,2,1,2,7,,7,6,1,7,,0,1,1,5,,121,17,74,38,42,32,,,,41,51,35,16,,,,,,2,2,2,1,,,1,,,0.43,8,8,8,7
File,"AntClassLoaderPerformance.java",3,3,3,1,23,0,21,2,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,55,5,28,14,16,22,,,,17,22,14,8,,,,,,3,3,3,1,,,2,,,0.79,3,3,3,1
File,"AntClassLoaderTest.java",1,1,1,1,12,0,11,0,,,,2,0,0,12,,12,12,2,12,,1,0,0,11,,191,17,142,47,101,32,,,,88,107,43,64,,,,,,6,6,6,1,,,1,,,0.23,18,18,18,12
File,"AntFilterReader.java",2,2,2,1,13,0,8,4,,,,1,0,0,10,,10,10,3,10,,0,0,1,9,,177,15,94,22,49,68,,,,39,64,20,44,,,,,,4,4,4,1,,,2,,,0.72,24,24,26,10
File,"AntLikeTasksAtTopLevelTest.java",1,1,1,1,7,0,7,0,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,62,7,35,8,19,21,,,,13,21,8,13,,,,,,2,2,2,1,,,1,,,0.60,7,7,7,4
File,"AntMain.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,42,3,6,5,0,33,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,5.50,0,0,0,0
File,"AntResolver.java",1,1,1,1,11,1,7,3,,,,1,0,0,6,,6,6,3,6,,0,1,0,5,,116,14,55,24,24,47,,,,30,41,22,19,,,,,,3,3,3,1,,,1,,,0.85,10,10,10,6
File,"AntSoundPlayer.java",2,2,2,1,12,0,7,4,,,,1,0,0,14,,14,14,6,14,,0,3,0,11,,249,33,123,45,66,93,,,,59,85,43,42,,,,,,7,7,7,4,,,3,,,0.76,28,28,30,19
File,"AntStructure.java",4,4,5,1,28,1,21,5,,,,3,2,4,13,,17,15,3,17,,4,2,2,9,,488,48,316,77,216,124,,,,179,236,74,162,,,,,,28,28,35,6,,,6,,,0.39,55,55,66,22
File,"AntStructureTest.java",1,1,1,1,5,0,5,0,,,,2,0,1,9,,9,9,5,9,,0,0,0,9,,97,10,63,25,32,24,,,,39,50,23,27,,,,,,1,1,1,1,,,0,,,0.38,9,9,9,9
File,"AntTest.java",1,1,1,1,5,0,5,0,,,,5,0,0,74,,74,74,14,74,,8,1,2,63,,518,72,423,143,233,23,,,,180,285,140,145,,,,,,10,10,10,1,,,7,,,0.05,100,100,100,74
Public Class,"AntTimestamp",1,1,1,1,13,0,4,9,2,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,21,2,6,3,2,13,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,0,2.17,1,1,1,1
File,"AntTimestamp.java",1,1,1,1,13,0,4,9,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,45,5,11,8,2,29,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,2.64,1,1,1,1
Public Method,"AntTimestamp.when",,,,,,,,,,,,,,,,,,,,,,,,,,0,13,0,4,2,2,9,3,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,2.25,1,1,1,1
File,"AntTypeDefinition.java",2,2,3,1,14,0,8,6,,,,1,0,0,22,,22,22,7,22,,0,3,0,19,,388,28,202,54,125,158,,,,75,116,46,70,,,,,,7,7,10,7,,,2,,,0.78,51,51,69,37
File,"AntVersion.java",2,2,2,1,12,0,8,4,,,,1,0,0,10,,10,10,3,10,,0,2,0,8,,171,14,96,24,55,61,,,,40,65,25,40,,,,,,6,6,8,3,,,2,,,0.64,24,24,29,14
File,"AntVersionTest.java",1,1,1,1,3,0,3,0,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,43,6,16,7,4,21,,,,6,11,7,4,,,,,,1,1,1,1,,,0,,,1.31,4,4,4,4
File,"AntXMLContext.java",1,1,1,1,8,0,4,4,,,,1,0,0,31,,31,31,14,31,,0,0,0,31,,418,52,169,67,71,198,,,,83,125,67,58,,,,,,3,3,3,1,,,2,,,1.17,41,41,43,31
File,"Antlib.java",2,2,2,1,19,0,13,5,,,,1,1,1,6,,6,5,3,6,,0,1,2,3,,180,14,103,41,58,63,,,,58,74,37,37,,,,,,6,6,6,3,,,3,,,0.61,15,15,15,8
File,"AntlibDefinition.java",1,1,1,1,10,0,4,6,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,81,8,26,11,9,47,,,,12,19,11,8,,,,,,3,3,3,1,,,1,,,1.81,6,6,6,4
File,"AntlibTest.java",1,1,1,1,4,0,3,0,,,,3,0,0,11,,11,11,0,11,,0,1,0,10,,94,16,50,19,15,28,,,,16,33,19,14,,,,,,2,2,2,1,,,1,,,0.56,14,14,15,11
File,"ApacheCatalog.java",2,2,2,1,24,3,10,10,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,121,18,38,15,23,66,,,,19,27,15,12,,,,,,5,5,5,1,,,2,,,1.74,7,7,7,3
File,"ApacheCatalogResolver.java",1,1,1,1,20,1,9,9,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,177,26,55,25,27,97,,,,32,39,20,19,,,,,,4,4,4,1,,,1,,,1.76,7,7,7,4
File,"Appendable.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,35,3,6,5,0,26,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,4.33,0,0,0,0
File,"Apt.java",1,1,1,1,8,0,3,4,,,,2,0,4,22,,22,22,7,22,,0,0,0,22,,267,29,105,51,36,133,,,,47,73,46,27,,,,,,2,2,2,1,,,1,,,1.27,25,25,25,22
File,"AptCompilerAdapter.java",3,3,3,1,24,1,15,8,,,,1,1,3,4,,4,3,0,4,,1,0,2,1,,189,17,75,33,47,97,,,,45,57,31,26,,,,,,7,7,7,3,,,2,,,1.29,12,12,12,6
Public Class,"AptExample",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,4,0,2,1,0,2,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,0,1.00,0,0,0,0
File,"AptExample.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,25,0,6,5,0,19,,,,0,1,1,0,,,,,,0,0,0,0,,,0,,,3.17,0,0,0,0
File,"AptExternalCompilerAdapter.java",1,1,1,1,17,2,8,7,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,71,12,23,11,12,36,,,,15,18,11,7,,,,,,1,1,1,1,,,0,,,1.57,2,2,2,2
File,"AptTest.java",1,1,1,1,4,0,3,0,,,,1,0,0,10,,10,10,0,10,,0,1,1,8,,77,13,41,13,17,23,,,,19,30,13,17,,,,,,1,1,1,1,,,0,,,0.56,10,10,10,10
File,"Arc.java",2,2,2,1,13,0,8,3,,,,1,0,0,6,,6,6,5,6,,0,0,0,6,,122,13,65,27,40,44,,,,36,51,26,25,,,,,,6,6,6,1,,,2,,,0.68,14,14,14,6
File,"ArchiveFileSet.java",1,1,2,1,12,0,6,5,,,,1,0,5,36,,37,37,9,37,,0,1,6,30,,564,47,277,69,159,240,,,,133,200,66,134,,,,,,5,5,6,4,,,2,,,0.87,67,67,73,45
File,"ArchiveResource.java",2,2,2,1,11,0,6,4,,,,1,0,1,20,,21,21,4,21,,0,0,7,14,,293,25,156,39,84,112,,,,68,108,38,70,,,,,,6,6,6,4,,,2,,,0.72,43,43,45,23
File,"ArchiveScanner.java",2,2,2,1,14,0,7,6,,,,1,1,0,16,,17,16,9,17,,2,1,2,12,,360,36,150,50,79,176,,,,72,105,43,62,,,,,,5,5,6,5,,,1,,,1.17,33,33,39,22
File,"Archives.java",2,2,2,1,13,0,9,4,,,,1,0,0,10,,10,10,2,10,,0,0,3,7,,192,14,112,35,59,67,,,,63,83,36,47,,,,,,3,3,3,1,,,1,,,0.60,23,23,24,10
File,"AsiExtraField.java",1,1,1,1,11,0,5,5,,,,1,0,2,20,,20,20,6,20,,0,0,1,19,,347,34,131,44,81,187,,,,66,92,43,49,,,,,,3,3,3,1,,,1,,,1.43,25,25,26,20
File,"AsiExtraFieldTest.java",1,1,1,1,25,1,21,7,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,157,13,112,22,95,56,,,,73,82,18,64,,,,,,3,3,3,1,,,1,,,0.50,8,8,8,5
Public Class,"AssertionMain",1,1,1,1,4,0,4,0,1,0,0,,1,0,,,,0,0,1,1,0,0,0,1,,12,2,6,2,2,4,,,,2,4,2,2,,,,,,1,1,1,1,,1,0,,0,0.67,1,1,1,1
File,"AssertionMain.java",1,1,1,1,4,0,4,0,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,31,4,6,2,2,21,,,,2,4,2,2,,,,,,1,1,1,1,,,0,,,3.50,1,1,1,1
Public Static Method,"AssertionMain.main",,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,2,0,1,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Class,"AssertionTest",1,1,1,1,4,0,4,0,1,0,0,,0,0,,,,3,0,3,3,0,0,0,3,,25,6,15,4,6,4,,,,4,9,4,5,,,,,,2,2,2,1,,2,1,,0,0.27,4,4,4,3
Public Constructor,"AssertionTest.AssertionTest",,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
File,"AssertionTest.java",1,1,1,1,4,0,4,0,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,45,8,16,5,6,21,,,,5,10,5,5,,,,,,2,2,2,1,,,1,,,1.31,4,4,4,3
Public Method,"AssertionTest.testAssertNotRaised",,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,0,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Method,"AssertionTest.testAssertRaised",,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,7,1,4,1,1,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,0.14,2,2,2,1
File,"Assertions.java",1,1,2,1,12,0,6,5,,,,4,1,0,19,,20,19,4,20,,0,3,2,15,,366,36,151,52,81,179,,,,76,115,52,63,,,,,,5,5,6,1,,,2,,,1.19,36,36,38,19
File,"AssertionsTest.java",1,1,1,1,3,0,3,0,,,,1,0,0,15,,15,15,0,15,,0,0,3,12,,102,19,59,18,24,25,,,,18,35,18,17,,,,,,2,2,2,1,,,1,,,0.42,16,16,16,15
File,"Attrib.java",1,1,1,1,7,0,4,3,,,,1,1,6,17,,17,16,1,17,,0,3,2,12,,196,24,84,32,41,88,,,,35,54,32,22,,,,,,2,2,3,1,,,1,,,1.05,20,20,21,17
File,"AugmentReference.java",1,1,1,1,9,0,6,2,,,,1,0,0,6,,6,6,1,6,,0,2,0,4,,96,9,49,16,24,38,,,,25,37,16,21,,,,,,3,3,3,1,,,2,,,0.78,11,11,11,6
File,"Available.java",2,2,3,2,17,0,11,6,,,,2,0,2,24,,24,24,13,24,,0,4,0,20,,517,34,299,63,184,184,,,,126,198,64,134,,,,,,14,14,23,14,,,4,,,0.62,69,69,84,50
File,"AvailableTest.java",1,1,1,1,3,0,3,0,,,,1,0,0,31,,31,31,0,31,,0,0,0,31,,213,34,120,34,54,59,,,,56,88,34,54,,,,,,1,1,1,1,,,0,,,0.49,31,31,31,31
Public Class,"B",0,0,0,0,0,0,0,0,1,0,4,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,2,0,,0,0.00,0,0,0,0
Public Class,"B",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Public Class,"B",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
Public Class,"B",0,0,0,0,0,0,0,0,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,0,0.00,0,0,0,0
File,"B.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,19,3,2,1,0,14,,,,0,1,1,0,,,,,,0,0,0,0,,,0,,,7.00,0,0,0,0
File,"B.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,19,3,2,1,0,14,,,,0,1,1,0,,,,,,0,0,0,0,,,0,,,7.00,0,0,0,0
File,"B.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,30,3,10,4,3,17,,,,4,6,3,3,,,,,,1,1,1,1,,,0,,,1.70,1,1,1,1
File,"B.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,19,3,2,1,0,14,,,,0,1,1,0,,,,,,0,0,0,0,,,0,,,7.00,0,0,0,0
File,"B.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,19,3,2,1,0,14,,,,0,1,1,0,,,,,,0,0,0,0,,,0,,,7.00,0,0,0,0
File,"BCFileSet.java",1,1,1,1,9,0,5,4,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,72,7,26,9,11,39,,,,11,18,9,9,,,,,,2,2,2,1,,,1,,,1.50,6,6,6,4
File,"BUnzip2.java",2,2,2,1,21,0,14,6,,,,1,0,2,3,,3,3,0,3,,0,0,3,0,,111,11,56,22,36,44,,,,36,44,22,22,,,,,,6,6,6,1,,,3,,,0.79,8,8,8,3
File,"BUnzip2Test.java",1,1,1,1,3,0,3,0,,,,1,0,1,7,,7,7,0,7,,0,1,0,6,,63,12,31,12,12,20,,,,13,21,12,9,,,,,,1,1,1,1,,,0,,,0.65,7,7,7,7
File,"BZip2.java",1,1,1,1,16,0,9,7,,,,1,0,0,2,,2,2,0,2,,0,0,2,0,,73,6,28,14,13,39,,,,17,21,13,8,,,,,,2,2,2,1,,,1,,,1.39,3,3,3,2
File,"BZip2Constants.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,0,0,11,0,,0,0,0,0,,109,5,67,66,62,37,,,,12,13,13,0,,,,,,0,0,0,0,,,0,,,0.55,0,0,0,0
File,"BZip2Resource.java",1,1,1,1,8,0,4,4,,,,1,0,1,5,,5,5,0,5,,0,0,3,2,,85,8,31,13,10,46,,,,17,26,15,11,,,,,,3,3,3,1,,,2,,,1.48,8,8,8,5
