system_id,package,class,fullClassName,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
freecol,net.sf.freecol.server.ai.mission,PioneeringMissionTest,net.sf.freecol.server.ai.mission.PioneeringMissionTest,20,1,1,1,1,37,4,30,3,1,25,0,0,3,2,0,2,25,0,0,0,2,109,16,69,29,57,24,46,49,22,27,1,1,1,1,3,0,50,0.35,2,2,2,2,1
freecol,net.sf.freecol.client.gui.action,ReportForeignAction,net.sf.freecol.client.gui.action.ReportForeignAction,20,1,1,1,1,8,0,3,5,1,2,0,0,1,2,0,2,26,1,0,0,1,45,4,9,4,3,32,3,6,4,2,1,1,1,1,3,0,50,3.56,2,2,2,2,1
freecol,net.sf.freecol.common.model,Nation,net.sf.freecol.common.model.Nation,20,1,1,1,1,9,0,4,5,1,2,0,1,2,15,5,16,123,0,0,3,13,228,27,81,30,37,120,34,53,25,28,2,2,2,1,3,1,82,1.48,18,18,18,16,1
freecol,net.sf.freecol.client.gui.action,ReportCargoAction,net.sf.freecol.client.gui.action.ReportCargoAction,20,1,1,1,1,7,0,3,4,1,2,0,0,1,2,0,2,26,1,0,0,1,42,3,9,4,3,30,3,6,4,2,1,1,1,1,3,0,50,3.33,2,2,2,2,1
freecol,net.sf.freecol.client.gui.action,ChatAction,net.sf.freecol.client.gui.action.ChatAction,20,1,1,2,1,9,0,4,5,1,2,0,0,1,3,0,3,27,1,0,1,1,59,5,16,6,7,38,4,8,5,3,1,1,5,1,3,0,66,2.38,3,3,7,3,1
freecol,net.sf.freecol.common.option,StringOption,net.sf.freecol.common.option.StringOption,20,1,1,1,1,10,0,5,4,1,1,0,1,1,16,2,17,116,0,0,6,11,230,24,98,30,45,108,37,66,26,40,4,4,4,1,3,2,74,1.1,27,27,29,17,1
freecol,net.sf.freecol.client.control,MoveTest,net.sf.freecol.client.control.MoveTest,20,1,1,1,1,15,2,12,0,1,15,0,0,2,2,0,2,25,0,0,0,2,60,11,31,16,22,18,18,23,12,11,2,2,2,1,3,1,50,0.58,3,3,3,2,1
freecol,net.sf.freecol.client.gui.plaf,FreeColTableHeaderUI,net.sf.freecol.client.gui.plaf.FreeColTableHeaderUI,20,1,1,1,1,5,0,4,0,1,1,0,1,0,2,0,3,3,0,0,0,3,44,6,17,7,8,21,8,12,6,6,1,1,1,1,2,0,0,1.24,3,3,3,3,1
freecol,net.sf.freecol.common.model,ResourceType,net.sf.freecol.common.model.ResourceType,20,1,1,1,1,8,0,5,2,1,4,0,1,0,8,2,9,116,0,0,3,6,118,15,57,20,27,46,23,38,17,21,3,3,4,1,3,2,66,0.81,13,13,14,9,1
freecol,net.sf.freecol.server.control,ChangeSet.Change,net.sf.freecol.server.control.ChangeSet.Change,10,1,1,1,1,9,0,2,6,1,2,11,0,0,9,1,9,9,1,0,0,8,90,11,24,12,5,55,9,16,11,5,1,1,1,1,1,0,66,2.29,6,6,6,6,1
freecol,net.sf.freecol.common.resources,ResourceManager,net.sf.freecol.common.resources.ResourceManager,20,1,1,1,1,11,0,5,6,1,13,0,33,11,0,0,33,33,0,3,0,30,480,43,192,67,108,250,100,150,68,82,4,4,4,3,1,2,90,1.3,56,56,57,37,1
freecol,net.sf.freecol.client.gui.action,ClearOrdersAction,net.sf.freecol.client.gui.action.ClearOrdersAction,20,1,1,1,1,9,0,3,5,1,3,0,0,1,2,1,2,30,1,0,0,1,46,3,11,5,4,32,5,8,5,3,1,1,1,1,5,0,25,2.91,2,2,2,2,1
freecol,net.sf.freecol.common.networking,NewRegionNameMessage,net.sf.freecol.common.networking.NewRegionNameMessage,20,1,1,1,1,13,0,6,6,1,9,0,1,0,7,3,8,33,0,0,0,8,153,14,57,18,30,82,23,36,16,20,5,5,5,5,2,1,37,1.44,12,12,12,12,1
freecol,net.sf.freecol.common.networking,SetTradeRoutesMessage,net.sf.freecol.common.networking.SetTradeRoutesMessage,20,2,2,2,1,13,0,8,4,1,9,0,5,1,4,1,9,34,0,0,0,9,161,15,79,28,48,67,40,62,29,33,6,6,7,4,2,2,55,0.85,18,18,19,12,1
freecol,net.sf.freecol.common.networking,ClearSpecialityMessage,net.sf.freecol.common.networking.ClearSpecialityMessage,20,1,1,1,1,12,0,5,6,1,8,0,1,0,4,1,5,30,0,0,0,5,93,8,28,10,12,57,10,17,9,8,2,2,2,1,2,1,19,2.04,6,6,6,5,1
freecol,net.sf.freecol.server.ai,AIMain,net.sf.freecol.server.ai.AIMain,20,2,2,3,1,16,0,10,6,2,20,0,1,1,27,3,28,112,0,1,5,22,550,48,294,73,188,208,116,201,65,136,21,21,25,5,2,5,77,0.71,83,83,96,32,1
freecol,net.sf.freecol.server.control,ChangeSet.ObjectChange,net.sf.freecol.server.control.ChangeSet.ObjectChange,12,1,1,2,1,14,0,6,7,1,10,1,0,0,5,1,5,14,0,0,0,5,82,5,37,9,20,40,12,21,8,13,4,4,7,4,2,1,19,1.08,8,8,11,8,1
freecol,net.sf.freecol.client.gui.panel,EuropePanel.EuropeAction,net.sf.freecol.client.gui.panel.EuropePanel.EuropeAction,21,1,1,1,1,0,0,0,0,1,0,0,0,0,2,6,2,2,0,0,0,2,8,0,8,7,0,0,0,1,1,0,1,1,1,1,1,0,100,0,2,2,2,2,1
